row,Discipline,Citations,wos_docs,Citations_per_Paper,groupBy,filterBy,filterValues,subject,institution
11,MOLECULAR BIOLOGY & GENETICS,20568,,38.661654135338345,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
2,MATERIALS SCIENCE,93969,,34.547426470588235,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
3,ENVIRONMENT/ECOLOGY,92088,,31.311798707922478,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
1,CHEMISTRY,164390,,30.330258302583022,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
10,BIOLOGY & BIOCHEMISTRY,20837,,23.229654403567448,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
6,GEOSCIENCES,42158,,22.78810810810811,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
4,ENGINEERING,55450,,21.6010907674328,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
17,PHARMACOLOGY & TOXICOLOGY,5693,,19.698961937716263,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
16,AGRICULTURAL SCIENCES,6513,,18.82369942196532,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
14,NEUROSCIENCE & BEHAVIOR,14295,,18.540856031128403,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
12,CLINICAL MEDICINE,16875,,17.95212765957447,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
9,PLANT & ANIMAL SCIENCE,21843,,15.88581818181818,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
5,PHYSICS,50802,,14.535622317596566,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
7,"SOCIAL SCIENCES, GENERAL",27524,,12.648897058823527,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
8,COMPUTER SCIENCE,22336,,12.388241819190238,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
13,PSYCHIATRY/PSYCHOLOGY,15243,,10.440410958904108,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
15,MATHEMATICS,11984,,5.935611688954928,ResearchFields,Institutions,EAST CHINA NORMAL UNIVERSITY,,East China Normal University
